,business_id,label
Jg5yVNhnBxSYyE3AfbtT9g,Y91-sIlVyH6v4YM6sTINAw,2.0
Z-lHjqVPh6SSfN0Dx73m5g,7yMtQ3nlre2Tr9C3UTQY-g,2.0
4fcsAbTxjR7QDcDZCT21YA,auDjameQ8PKA2cIwyI5uQA,2.0
vLBycJmswjjyhZdJC08O0g,FxGy4A9oLsD2Xjtxv4ZSXw,2.0
_Spi1ndpbwdgMi4sqWzP9A,auDjameQ8PKA2cIwyI5uQA,2.0
9N8SDEkUtjpK3YMm7oUm4A,MbPObYMEOk4-IaTG0kOBjw,2.0
kyuhXmvc4yhpoRYl7OY5Xg,ArRALWe_LLc89RdBeQKscw,2.0
apLJKtq7va_pq4udIXns7w,ptMCwaAGqMj-nJE1tA3vmQ,2.0
iVJskfgfol1WeQ_Z2y0oHg,oMcKvfNGX2HleFxYg1VGqg,2.0
PXY0rFuRxSVgBh7Huq5MOA,66EYUS3iichq-Gn6KjgX2A,2.0
ZYLuaFgJAnmVBEwRl63x4g,cEFnJrDaz7BLO0xOCJlF6A,2.0
ChfdIAwfj5B5eXGPoMJi8A,ZOyBejO3lpOTx5CKQuyr_g,2.0
daAoQnqgHyyO8UrqgoJbug,Qiyd2ha1pivmsQhnFZgCxQ,2.0
BlIU7RUZDB9LNzDgw32png,ockrLlsm6dhOGYjP9pvKSA,2.0
uSbLV5-uGLbrT9MoLmd1Dw,vVCA8deF2dlPXgZykhQfdw,2.0
rr0KpNlWjYNoxnXqRzfyVw,syK8j95vkxKeHmQ3xyKnPQ,2.0
WTr6pvXhPGRwORp5MSirLw,HvVV1N9RyxsJhayQeDuuTA,2.0
5avXsxdt1ob9u6jEIURnyw,SZldZinCvCRE6u92q0u0cA,2.0
OuVH4lbzUnaf6KimqCfTKQ,medCzwjjGeReqxOt-iPVTg,2.0
0ahjj3wzfFQPsi66lrhVEg,medCzwjjGeReqxOt-iPVTg,2.0
aMzNdn__Uo8EFBOg_C5J6g,0mxXTe1LPXOmPy-aGhZTuw,2.0
ZrOBF1EtEKxzkxyKMa7iOg,Q1dRbSP425_w1B7KGqj5sw,2.0
QJPp8Jy5qwXcxxptRhJ88g,mcXRNuN1MsgXYt8B2MWz2Q,2.0
7oFLwTs8NL6oEaLRjBfD4g,HewQZ7hyegytoABzApyUiA,2.0
S_Wmm7bomebkawwJlxHcZQ,tBnkwWamzdO6X25sfV0Fyg,2.0
0O4wY8na6x_GvjE6JHPAdw,uUIYh3iKyYKzbhl7ORYxVA,2.0
h6Xjrtp1hg-OYiuD7DbGXw,oMcKvfNGX2HleFxYg1VGqg,2.0
aZHq56p93AWoD7ylPxhQEQ,oMcKvfNGX2HleFxYg1VGqg,2.0
JIVNIDYrbRMOdtXGwq2K_w,4OeBE57Hs4WMLOTtT32d1Q,2.0
K-E2FWUkM4oyLYcNxOnNWw,Ou9RNq18vfbfL-7adJNA9A,2.0
ILdFhmVs-eQfiJPRUSGAsg,tBnkwWamzdO6X25sfV0Fyg,2.0
SJ4D-1VlK5_ho_S6ZEmaSQ,SZyrTU-tuZt6d9L6nDxyEQ,2.0
k8ehxK4g1R4uLp_hug-NPg,9HG09ZNqzrEUz-ipSTRkKA,2.0
dal6rRyZOQJBP0ZKPtadOw,tBnkwWamzdO6X25sfV0Fyg,2.0
imhiWU_YjzlW5v8UulnLwg,INU7l2FWbISp9xnJpmqlsg,2.0
U3a3Fbg6tMZiqTxBdTTwSg,9HG09ZNqzrEUz-ipSTRkKA,2.0
oR121ikVA2U1ZrzxjaOCBw,9HG09ZNqzrEUz-ipSTRkKA,2.0
m75yBKKEuk7cFlItgxn5Mw,MkKMmLQGtuZnjw-5GqLwqQ,2.0
U1ng3CIo1l9gmLYqLexk0w,8BAQAHKFlstlm1APdM88nw,2.0
9IUHR6GbeRRalIMk_9a3zQ,dgiHRAOtyfa6Z5dO_4qh6A,2.0
JqDYgi6Xu_0AAM-Ky-2GKg,rbDAPhcXcTttCPq1VtFGHA,2.0
8XYgXPzSaVuFab7FzdZLgg,7_YOEQXlrbGpF9t9TPG_nQ,2.0
2Ohw_7Drg9-3imT5--mbug,eMCxf71sTckRZw4GVGwtrw,2.0
R3lgsjDA4PthhrKNaN4Lsg,MkKMmLQGtuZnjw-5GqLwqQ,2.0
Mz5wMtTasB3lgxtqIS_9aw,lINk_EU_elY6iTrfUGcRqg,2.0
l925xOIFs623vgBpFGZbaw,7yMtQ3nlre2Tr9C3UTQY-g,2.0
Hh9CdjKtpifQv7-O-rUQ6Q,OulLyhVNvZOLn-uvV-pGMA,2.0
M2Nsqoaf_KB_QrxB9r65EA,kbM1qfdEdEZA9QsBIPBG4Q,2.0
WhlhIEHglW1oy7EL3IVaOQ,MZRqxvBkJLjKcoOjNz7yLA,2.0
LxnCH_SkJdW-5YilITgeOg,SN69A7A6gnjAJiN9wnNWHQ,2.0
1whQfkaR_V3rt38PezDhXg,aR8WzjbHPkjmN4yuwqdGhA,2.0
L1X3M0xskjyVchoAsX1VGg,0HG02r8ri7GEFwuwmdHCyg,2.0
5Rwww_U3QaJtmv5j2DX7Bw,Scjd6eKQ2zWiecxQcbGXIg,2.0
gzaW91peZ7TPiiLjE-znGw,7_YOEQXlrbGpF9t9TPG_nQ,2.0
bS-XqNOYJjAFs5OnIYxZFw,yYL95YmG-2lI33G9ZLseyQ,2.0
GnoA7b96L4ajFeGb2KQMtg,WynSwONQjN7heBpTtP2Csw,2.0
_6iuHAOKLTs8kBWY4FdAOw,HewQZ7hyegytoABzApyUiA,2.0
IznULrjZDCrDHSk1XMdbQA,-0T0jfPnuBRdpNTXpOQZcA,2.0
B5l0OFuuA_kOm5ogc8ABag,RH6GHFdAS-uj7nBDFjsBoQ,2.0
67YZxX5TorAnNgPZuj48jA,HmGFMFsrwu7UhzGjtog9NQ,2.0
ma706amcUDY1Tm_oC7_O9w,Y-tgvb9Bh-Od-sPa1PRILA,2.0
o4W3trOpiJ-fmvwmqKkTog,1CxCa62S7kEhL7nIbaY4Hg,2.0
eKS03r_wDUP5WNLmjrKdug,i2hPnUeiCzDyyyzLtIWqgw,2.0
wRa1OmZOmNN7LEE0Fi9sJQ,yZWocAychMYJMgc-j5K3uw,2.0
Fg_3MjyegyAMiGVMA1o6ng,DMwU0igEs9K7XuI3utsr6g,2.0
lNabvz7OmQrFqq6q0pZdSg,Y91-sIlVyH6v4YM6sTINAw,2.0
_p1g4Dr9mg-o_1fZPuN8gw,ZOyBejO3lpOTx5CKQuyr_g,2.0
XHOU6_q7K_3TORoEYRm59g,eu8jdbhsPfjNJqFL7Yn1SA,2.0
RJ-lrYMtM14UKtGZFHxweQ,lsGIcUOadXjaRtKFNtrq8Q,2.0
Lp0mroZekWYIcfZpc-j1LA,ArRALWe_LLc89RdBeQKscw,2.0
tX-_si97cLMQ_QOCZdhFPA,WKfZPe1VRweH0Vg9j9LckA,2.0
Eo-LXEh6ZLbqjCbZbO6AgA,BoTb3FqOsJaFe_koVfyGbw,2.0
9Lfvt4n_RALSH9G4PjDbbA,_2Wbpm821bdNsh-gyqufrg,2.0
QoD5DH3JyiMMfpG2nS8qrA,ZRvpOsX_1ZPPzsSZnYHZHw,2.0
7vWu5cAcEJAMHdivYURLYg,Y91-sIlVyH6v4YM6sTINAw,2.0
S8kWrrt5d0G2ahZBSX3tUw,rYihcTES0OvWnfEluM1Hqg,2.0
YW0A-AL_jmCEeTsBP88FEQ,fJVrLAFaqcvzt1QAw12Uxw,2.0
zGlrgPmRmjDDka5FN8upxw,GmUtjz9zNyPspEZ1DFl40Q,2.0
VeXFr4XXJvVn2iT1e_wTBw,qcDMMcAYuGRT5iyic1pIbw,2.0
EP_0DOmsjh7X5GhXxm7bMw,l6Z6dyrukyKzwemZ9tqmxg,2.0
pd3hZNy3HCxggkRyAUJpmg,tSJaZL5X81j2k-GqtpBM_w,2.0
Xb6bJe8EUjF-07fNHdSszw,qcDMMcAYuGRT5iyic1pIbw,2.0
_t0f2Vqv79MhogOGL09DKw,4BfmLcy9iMJSsFFKzyIfKQ,2.0
nMxQQYGofUhopDrHJ9WnTA,dgiHRAOtyfa6Z5dO_4qh6A,2.0
tZCwDxrbJXB4MUCNUVv_vA,3pfAT4rgf8MmnoAPhkcU3A,2.0
j8wx7ExPLBrANmrd9OlR5g,pFA2l8MG7hFTmwc6zjDgtA,2.0
RqwerY_-XqJaEYJvTrzH1A,9UIpDZwvIZ0dEVF0NxamLg,2.0
LhCrolNhdZijSn-BMqTLjA,-RulWSOzkK2zMTsU7aa0lg,2.0
mTqJ65zXy-ruOJ5DPIJjIQ,SZyrTU-tuZt6d9L6nDxyEQ,2.0
yeqCodmncAGKIaoFxIct8w,nOykFBuMLOuw3ZB2WTk50g,2.0
pL1eDBFvuvr5DHR3Tyut5Q,BHAIidO5o16UpCNY3qTICw,2.0
YQS8SLP2lMZ-SnGsHJBszQ,Q1dRbSP425_w1B7KGqj5sw,2.0
KuC1s6uPNeXutRt1rk4Epw,jUddhNjGAE6W7MQKaUEZ4Q,2.0
sf-8ZxDg-ZUFaUsJdkOa-w,GAQsvyXym_6Cq7wNgiSlig,2.0
cdsSMvjAs6lu__hC-D2PxA,fh-hCT2esNJEocdBdggWoQ,2.0
4VznJODXAcF11b7unFf3DQ,GmUtjz9zNyPspEZ1DFl40Q,2.0
R9HfcYlT4bnTCLPrd01GiA,tBnkwWamzdO6X25sfV0Fyg,2.0
QDxHbJgQuQI3b-UeTsy6fg,lINk_EU_elY6iTrfUGcRqg,2.0
UQLvci0S7L8453DRUu04JQ,eJj9eDmM0dz7fZ04FI0aIg,2.0
KHQmCgihuM-eYJfgcPB7Tg,yYL95YmG-2lI33G9ZLseyQ,2.0
pxtdU9BCrYwtHRDNlfCHfg,iBZcbvdM1vp_xiuxJVqkNw,2.0
rGBljTClB4RkU1xDjxTX0Q,auDjameQ8PKA2cIwyI5uQA,2.0
4FBm-Vx-Msu7EXBo_sEXRQ,hc81y_5FQjTiZcgqnY8vfQ,2.0
aQtc7dWLoRHvwQ41G6uu1A,Flu85aQ9mdeL0dyja4Vv0A,2.0
WT_-0mg0Seq-ZtGGjhBlOA,hqf_vF8G5F3pYBwCb8c5BA,2.0
JZ84t5iN6rGadrs1mioGYg,xxGO2bwU02mip8W_lYjtYA,2.0
ROZhpcep3pxANk6MzN6U_w,fh-hCT2esNJEocdBdggWoQ,2.0
HDjktqTxuw03zDMFWQBbPA,9T2fYTnKClbBKCDaJypGxw,2.0
Fkle-_OaMeyTfcYzm8fqVw,LbuqxpaUIVEhC4mCvecjRw,2.0
r4kDhHWkJvB-n6uahxsIRA,mcXRNuN1MsgXYt8B2MWz2Q,2.0
H0KXxzrURyvg5ACZpY-akQ,QvEoE_oGwHPXvw5IylllNg,2.0
k-ikb6ObxoHZpRvgykT2Eg,QMaaLfedGzNhHz6PZKAUkw,2.0
cnAnszICeBzky_jtg8jblA,_2Wbpm821bdNsh-gyqufrg,2.0
xVXAEtUqON-0twr5QKda9A,MkKMmLQGtuZnjw-5GqLwqQ,2.0
ErBM1hp0PVxGpCsNi634VA,i3tQsfpdKoXttqp4CFLA-Q,2.0
BsLrGQujcVER5Mm4MK-dbA,F7OsiFk9aLZtqZczA84xpw,2.0
2b6dtKq97GeFte2YmPMa1A,ockrLlsm6dhOGYjP9pvKSA,2.0
y8_koe5klf4UiVTelk2HKw,0uzQymPVW2l24rpjX9KIBA,2.0
DtaCM5VIAYTfAEc3xbi8Dg,fh-hCT2esNJEocdBdggWoQ,2.0
W6IBAAWNdoyZ7w7B-74ecA,DNfia9ds6fexTr5XtAw6TA,2.0
ZNVN9faHFD9rftHgBt7eVw,i2hPnUeiCzDyyyzLtIWqgw,2.0
6d7iFBdQmSXRAbCgetelxQ,2XHQdSM_FvQ7-PUUKaNDCw,2.0
Um4umh8gq6t9EOuTz6R1nw,WKCmhNrD-01wmaKO34oPbw,2.0
FJiXaEitX_tUfGGvLCqoNg,_2Wbpm821bdNsh-gyqufrg,2.0
2XkI5fJedyFhLcv__thZjA,BDDIpeEK8gVdhiglbjEyrw,2.0
Z4IlwB5wZ881BQ4R6g3mPA,_2Wbpm821bdNsh-gyqufrg,2.0
1fPY9GIaYGvJ438gJML0AA,1PaQzgrhq-jy-7MMGeLuGw,2.0
soCPH3-4_3UJ-bOctm_QlQ,66EYUS3iichq-Gn6KjgX2A,2.0
GcjEPziqd3ZMDWJrO5uWGQ,auDjameQ8PKA2cIwyI5uQA,2.0
8pEuPUsyoSiWOL5Ujuu4PQ,LkgqiRF3LaZCVQmDFC0AaA,2.0
1_y668kf2UUmGMX3bBhOAQ,2svMs0mYf-xj2UsAp0qqHw,2.0
FyC5OzQ55C2BQhU2Bg1-9g,2SVC9SP6MDZXBJ3QjD5LiQ,2.0
fwP6f0YcLeG2DiPvUne7Ng,SZyrTU-tuZt6d9L6nDxyEQ,2.0
qvWHrw1IWv-qFVSEl-v2jg,GxA47kwAz_fMU-giHGFSDQ,2.0
V6O1GsHQm4PxSZtLjw8HSQ,xgZSjkCv7ZiTmtcHMxZDxQ,2.0
nmeMuSicxgGPfa9Ck1tJ0A,lINk_EU_elY6iTrfUGcRqg,2.0
7GAcBuZ7rRRFnk3n6TFq3A,tMeEiLIGW-k0fNLhDsD9Ww,2.0
hVDu6LpO6jUbnGFiRHp64w,7_YOEQXlrbGpF9t9TPG_nQ,2.0
t188UyKsgOkLf-7WMh8-NQ,8w_PzYVk6cR37lpR-SWMog,2.0
Q9fzK_LKSmbKfQm4JivRwg,QP8rKSa_kKYpc9iz9f5UfA,2.0
LPWOHeZWFj1UBCYrnCuZ9g,p-qvtajJfi19y3Oz-pa9_A,2.0
iLi9D33QjoCkXPm2QTCy_g,MQXFdfDb1UjrZngnjslmhA,2.0
pEVqEndc4fXYyTwYJ2ZPpQ,i2hPnUeiCzDyyyzLtIWqgw,2.0
KtMDEveBxBRqvzKoPT5wdg,MQXFdfDb1UjrZngnjslmhA,2.0
-eo9fR34feS6Y4ifGKRcqw,6C-UycW07vavAvk-BFzTsA,2.0
KOF-PH0Lng5xNOlgaEhAMg,1ibcr-sgeUXJNAE51Czjpw,2.0
OYFXF4zH5ye38asvYisIPg,fnPefa87H-3CJnDungeetQ,2.0
0Kz7bPLPH0PWpocCZRSGDA,IAYb36NazDFBifoq9AKcBg,2.0
X5SRZONEDwLTEdOBaz8WLA,C_MKyyEaJVUTldNujrnTZQ,2.0
xnRNGo_Krll4UlDMsDqyAg,9HG09ZNqzrEUz-ipSTRkKA,2.0
Q8ExD4j-suF8hlF30M8PXw,IAYb36NazDFBifoq9AKcBg,2.0
e90dazjBlosb4aACGvbK4w,iPtSfoSBj7r72pxDlM3pcg,2.0
_B7N0PzNEAqldR07bRRP-Q,5JNvfPfd6mcpwNoekzqBow,2.0
J4dTZC8nkANNeG5ievSEFg,u0hZsa4CXeRDy2R4-dyJvg,2.0
IyDh12HLNOvf-9krpm3uhw,wYd77dbBhwHZqO2J4HJCbg,2.0
N9dCyZjomoHZXjyU3m0jCA,heShcmma09uAfwU6yStMjg,2.0
UzYhWP_zX-KGgu5zsV1s2A,PnXeEQQv0-0F5G24t03iWA,2.0
dXcUrTzoJ7MJJMbapN0KWQ,xXhflOhlRCh5d9ASabHEpA,2.0
9grzNZe4aB9xqEsUSLogtw,rYihcTES0OvWnfEluM1Hqg,2.0
dDTdncg-hpT9IPC36OFFSA,5JNvfPfd6mcpwNoekzqBow,2.0
sB8N700bmRqb6mameLocLg,bdBlybBalBeuw_DHSvzFFQ,2.0
zdBtpIWqj3AmlTNyUn_CGg,_1Z5KRNNB2UtKabhH_KU2w,2.0
T7P1gaPI-o5BTqh3Af3Ong,FG9pnQ03s7T0svgeUkBG9A,2.0
DgnmF3OabEwFyDJyuXfvSw,IWDA6Tp8aFIaIqJJnZF0oA,2.0
VqG1M8cYq6N4G-J2ekDw-w,wWfMjXMq350bMWa2WlD8RA,2.0
eznDpYTUdWRocPaosSzbXw,Flu85aQ9mdeL0dyja4Vv0A,2.0
iOu0gqaUT9tzsdyc2Gf7Gg,mcXRNuN1MsgXYt8B2MWz2Q,2.0
xDzAHSJtiCVlNkHiDNRc9A,jgmnzmHRMwLf6q0IKMziMA,2.0
DaEEgHTM57W6mDR8O6eUWg,7yMtQ3nlre2Tr9C3UTQY-g,2.0
sx5t0JcU8gF3tRASOMZxfQ,KZeD91osgdu3OSqoutRMpQ,2.0
W9xKocwXdyzZ2Sm06hxaDQ,Kr2EJ05h5BXHlytYBgShGw,2.0
TWt3hQXhKrqhs8XR2oFHtA,PnXeEQQv0-0F5G24t03iWA,2.0
ZjUCun9eECLR8-6yQxzMYg,NlmdKg9px1fDh8kuPOeQ-A,2.0
9p1uyexVRwzdLl_h7Jvjrw,dgiHRAOtyfa6Z5dO_4qh6A,2.0
ktbDmjopqk6W2Z6bSvXqyw,d5n_zQMaVZxFKNnS-4ludA,2.0
J5SftFqVWJZWlbMID3CKcw,WGx8xzim-5whlePsNP8YZQ,2.0
2cuZ2EDnlduZKIXHhaBuwQ,CBOsWj63K1_O1m2Ounz7bQ,2.0
nUQjjKo02aSb3VJWadvJRQ,MbPObYMEOk4-IaTG0kOBjw,2.0
j2hVZyxoUN9yCSy8Bd6-YQ,ZRvpOsX_1ZPPzsSZnYHZHw,2.0
Pa9P6AR5OjsBXdGNURtj4A,BoTb3FqOsJaFe_koVfyGbw,2.0
MlEGfF3g7jPfYllsknjUhw,eobkI2jIFXjdUiv-5LCV9w,2.0
WuBBnxDu7jauOjYE79Gztg,tBnkwWamzdO6X25sfV0Fyg,2.0
Z8Dakel9OZ-K4K9RjzXMWw,5NMO-p1cqwdJCJChTMHNbg,2.0
rSs_mEWQySzk2NiyNVErYw,iBZcbvdM1vp_xiuxJVqkNw,2.0
ROwYncgLX9IXkFSAA68nkw,gbDZhohLAOL1ufdVWHMTxQ,2.0
2KVt5Caj5IfcdIs-gPjRcA,ryiuGXkurCl0Me6tmqOtzA,2.0
qdsqZhY9qlR6UR9rCYFJug,tBnkwWamzdO6X25sfV0Fyg,2.0
xqTQItMk0U9ZllU6kgYIuA,HewQZ7hyegytoABzApyUiA,2.0
C905mPnk0ue3ssYjo8E80w,H3s8-8HdrZen0BpzMWvlhw,2.0
8V6yWJzhLgo4ri7Xp-qe5w,2svMs0mYf-xj2UsAp0qqHw,2.0
TRg6C8VHjfsKIOhGkJ1lxA,i2hPnUeiCzDyyyzLtIWqgw,2.0
1j_1762eswo8CvQB7vHptg,1ibcr-sgeUXJNAE51Czjpw,2.0
pnyL__-b9N3TjVlwvaln1g,Ou9RNq18vfbfL-7adJNA9A,2.0
v7uTvu6nCkHW6D_GftOWdw,BoTb3FqOsJaFe_koVfyGbw,2.0
YcOX-7UesFwL-NYD3AadLQ,aSn4fgpq-3FDfvVG2bjv3A,2.0
jSBYSqk4LgoKUzKPg-H1oA,2KIlQsIHwYMkuwA0T4OKrw,2.0
fosK0sDW5H40VDRGexa4RA,rbDAPhcXcTttCPq1VtFGHA,2.0
rCauRq5PigmmWuzGIn0UPg,aR8WzjbHPkjmN4yuwqdGhA,2.0
KpZOO4kVI_SXRjB1JiFBiA,l1UsAzBjRgLxgAWT6zgOFA,2.0
tDJzS8BcFIH0VnVWJRu5kw,SZyrTU-tuZt6d9L6nDxyEQ,2.0
DozuCvy2V5stLMv0IGyIKQ,pTsL6_GQm2PFt8EMLlbcNg,2.0
dgih4aYensYjDFDUa5xBuA,vgaOy7n8BQFkPb0wzNX9eA,2.0
1k-cxdVlkx_4Bu3t_2bGqg,cy9bWd0tufGp-xkA8CIHIQ,2.0
ofYW2ENCuTQfn_3B7I4R2Q,medCzwjjGeReqxOt-iPVTg,2.0
yK2ojqe6mULF9VohayyKPQ,7yMtQ3nlre2Tr9C3UTQY-g,2.0
1MKmICOMVIKNiaJLd6jdng,IImZFNzX4cP84rFsyb-9mQ,2.0
k_-7JM_1rwg87-Re91hwHQ,oRRcTN6bgID4Z0UMeGXN0Q,2.0
x2SxOvuoZln-CWfPxf0oaw,i53HvxUdQEMllZ1XmpjjyA,2.0
rsUjFD4vWPvVHvDgg0ZRTw,jUddhNjGAE6W7MQKaUEZ4Q,2.0
tE4tc5q9d_aAwkzrCOeqHw,lq71ZTkANfb40sR0DAs6Rw,2.0
RbYYvROcNYjYajUcRUsBSg,heShcmma09uAfwU6yStMjg,2.0
lbPgelpJ3M-bz4PgRaMkZg,0vDqYiaVnr0q7TaFv73gtw,2.0
E0UCNdB7Vfw_Q-Wjz5B6Rg,JuPngDeQHVgBLH-VIET_ag,2.0
-C_9T4yoIohhk9o82Vv6eg,d46IlWJKA0RSoWwKlH9glA,2.0
qCk-ZI0aA9CIUQScf2lFCQ,3egp_Vx6nZCLyJVdCCFywQ,2.0
fvR9DVue7ftBOtiQpl6j-A,medCzwjjGeReqxOt-iPVTg,2.0
P-c0GhYwEi9Tg_mvRG3m1A,66EYUS3iichq-Gn6KjgX2A,2.0
7A0ZjeYPPwapOp_piA9eKw,nemMe-hfDQz5FJYCfbolNA,2.0
L3YukFeGAkEzDd_0OD_32w,uO7KbFyiMhhgFJNEDX_new,2.0
PAzrrKt8QiN-2DW2Dx_d6w,QMaaLfedGzNhHz6PZKAUkw,2.0
CjE0AifIDVysnV4_TkTqGA,eobkI2jIFXjdUiv-5LCV9w,2.0
mW1HqUpId5eBgou8uoHE6g,BWWzh28StP6hkMm5L4nCAQ,2.0
NSqxi0ANZCXqJxsHEslt-w,7yMtQ3nlre2Tr9C3UTQY-g,2.0
vZlrlQONmfYH39AIEDgimQ,mcXRNuN1MsgXYt8B2MWz2Q,2.0
nPxZLVC2mzDCjz8e2awIHw,i3tQsfpdKoXttqp4CFLA-Q,2.0
H4CaVQK9yLTtGNVgNKEmQg,_1Z5KRNNB2UtKabhH_KU2w,2.0
THcphlQKf-QRaapmsw4qaw,vAgV7hgQF8IazGNRlNtDiw,2.0
H5OeQHiy_gx-ij3W4sOiHA,auDjameQ8PKA2cIwyI5uQA,2.0
B_TKLjWdIL5UBna2amgJTA,PnXeEQQv0-0F5G24t03iWA,2.0
C598KsXdEUE2jYsHdR1JPg,fh-hCT2esNJEocdBdggWoQ,2.0
k7wz-deDBS57CtjVXHjm6g,HRIUU2Z4EsZBo59P0I2ZYA,2.0
xufp2FtKsvEhVNB5sUDC1Q,2svMs0mYf-xj2UsAp0qqHw,2.0
bYFovfrT38gqOgg5hIevRg,fh-hCT2esNJEocdBdggWoQ,2.0
e_DOqsnQ0s6c24sNAXpHwQ,QMaaLfedGzNhHz6PZKAUkw,2.0
FUlbXzo7sWCMJmmUXno5dg,LY0xEBmaat2-tz7TAjJEMQ,2.0
3rzv4uC8T3FcdlDK8sNkzg,0HG02r8ri7GEFwuwmdHCyg,2.0
Eh3g7auT30gtLeaO-PtLwA,pQnGKAjNn6U1HfsdzQOncA,2.0
qiscz9dwHo_8QnSvejlcCg,byOhOn25YXJf863vP4e6vw,2.0
m1H9UuzzoeVzHtYf-pyBAQ,AdNbLQQWgR28-GWU0G-qJw,2.0
2goPJeiP0Sy7tftDG6o2Gg,oMcKvfNGX2HleFxYg1VGqg,2.0
cMrjDg21IIpFcjVCJuhHaw,Al-cFxIKoJpbPW9Roy0FEw,2.0
_fSe7MS2pIXAJB1OJQD1qg,MGqPcfjQs1pRTG53yG5jYQ,2.0
BRxnQbRztZ-hENJBdq9G5Q,oMcKvfNGX2HleFxYg1VGqg,2.0
a1IA-GTkPt6sgHK5ymNOkg,--Ni3oJ4VOqfOEu7Sj2Vzg,2.0
LbWLvHlSnKcJ2IdTBwsrMg,HewQZ7hyegytoABzApyUiA,2.0
82bZLs4Lm3l1FAv7buaseA,lsGIcUOadXjaRtKFNtrq8Q,2.0
nHtVm_gzPP7Eiv2xmHkwIQ,7_YOEQXlrbGpF9t9TPG_nQ,2.0
h0k2jvEouOgyJydSFLmVMA,lINk_EU_elY6iTrfUGcRqg,2.0
_tbKSDowhBqGDhQCF11dVg,mcXRNuN1MsgXYt8B2MWz2Q,2.0
SfyA552TJqjX9_YohPkgPg,jUddhNjGAE6W7MQKaUEZ4Q,2.0
48McXmzPNUDlkUmeyl14XQ,3Ou9p4zIJg4utQh7MDgKFg,2.0
ykfQNsKOs8T2WoWzFtZmtA,mcXRNuN1MsgXYt8B2MWz2Q,2.0
sAeDdMk7VZBBGSFoNIUx8g,mcXRNuN1MsgXYt8B2MWz2Q,2.0
2LZ-2yBwJvzEbMtKlR6YNg,66EYUS3iichq-Gn6KjgX2A,2.0
